"SecretarialAreaCode","SecretarialAreaTitle","AgencyCode","AgencyTitle","bill","year","type","amount"
"03","Education","146","The Science Museum of Virginia","1283","2019","GF",5263401
"03","Education","146","The Science Museum of Virginia","1283","2019","NGF",6228796
"03","Education","146","The Science Museum of Virginia","1283","2019","Total",11492197
"03","Education","146","The Science Museum of Virginia","1283","2020","GF",5263401
"03","Education","146","The Science Museum of Virginia","1283","2020","NGF",6228796
"03","Education","146","The Science Museum of Virginia","1283","2020","Total",11492197
"03","Education","146","The Science Museum of Virginia","1","2021","GF",5444487
"03","Education","146","The Science Museum of Virginia","1","2021","NGF",5228192
"03","Education","146","The Science Museum of Virginia","1","2021","Total",10672679
"03","Education","146","The Science Museum of Virginia","1","2022","GF",5654487
"03","Education","146","The Science Museum of Virginia","1","2022","NGF",5228192
"03","Education","146","The Science Museum of Virginia","1","2022","Total",10882679
"03","Education","146","The Science Museum of Virginia","1","2023","GF",6255446
"03","Education","146","The Science Museum of Virginia","1","2023","NGF",5586950
"03","Education","146","The Science Museum of Virginia","1","2023","Total",11842396
"03","Education","146","The Science Museum of Virginia","1","2024","GF",6255446
"03","Education","146","The Science Museum of Virginia","1","2024","NGF",5586950
"03","Education","146","The Science Museum of Virginia","1","2024","Total",11842396
"03","Education","148","Virginia Commission for the Arts","1283","2019","GF",3712138
"03","Education","148","Virginia Commission for the Arts","1283","2019","NGF",808132
"03","Education","148","Virginia Commission for the Arts","1283","2019","Total",4520270
"03","Education","148","Virginia Commission for the Arts","1283","2020","GF",3855138
"03","Education","148","Virginia Commission for the Arts","1283","2020","NGF",808132
"03","Education","148","Virginia Commission for the Arts","1283","2020","Total",4663270
"03","Education","148","Virginia Commission for the Arts","1","2021","GF",3981248
"03","Education","148","Virginia Commission for the Arts","1","2021","NGF",750794
"03","Education","148","Virginia Commission for the Arts","1","2021","Total",4732042
"03","Education","148","Virginia Commission for the Arts","1","2022","GF",3981248
"03","Education","148","Virginia Commission for the Arts","1","2022","NGF",750794
"03","Education","148","Virginia Commission for the Arts","1","2022","Total",4732042
"03","Education","148","Virginia Commission for the Arts","1","2023","GF",5328887
"03","Education","148","Virginia Commission for the Arts","1","2023","NGF",756779
"03","Education","148","Virginia Commission for the Arts","1","2023","Total",6085666
"03","Education","148","Virginia Commission for the Arts","1","2024","GF",6249387
"03","Education","148","Virginia Commission for the Arts","1","2024","NGF",756779
"03","Education","148","Virginia Commission for the Arts","1","2024","Total",7006166
"03","Education","185","Secretary of Education","1283","2019","GF",694565
"03","Education","185","Secretary of Education","1283","2019","NGF",0
"03","Education","185","Secretary of Education","1283","2019","Total",694565
"03","Education","185","Secretary of Education","1283","2020","GF",694565
"03","Education","185","Secretary of Education","1283","2020","NGF",0
"03","Education","185","Secretary of Education","1283","2020","Total",694565
"03","Education","185","Secretary of Education","1","2021","GF",725468
"03","Education","185","Secretary of Education","1","2021","NGF",0
"03","Education","185","Secretary of Education","1","2021","Total",725468
"03","Education","185","Secretary of Education","1","2022","GF",725468
"03","Education","185","Secretary of Education","1","2022","NGF",0
"03","Education","185","Secretary of Education","1","2022","Total",725468
"03","Education","185","Secretary of Education","1","2023","GF",774902
"03","Education","185","Secretary of Education","1","2023","NGF",0
"03","Education","185","Secretary of Education","1","2023","Total",774902
"03","Education","185","Secretary of Education","1","2024","GF",774902
"03","Education","185","Secretary of Education","1","2024","NGF",0
"03","Education","185","Secretary of Education","1","2024","Total",774902
"03","Education","197","Direct Aid to Public Education","1283","2019","GF",6258717882
"03","Education","197","Direct Aid to Public Education","1283","2019","NGF",1813268450
"03","Education","197","Direct Aid to Public Education","1283","2019","Total",8071986332
"03","Education","197","Direct Aid to Public Education","1283","2020","GF",6556846161
"03","Education","197","Direct Aid to Public Education","1283","2020","NGF",1819319667
"03","Education","197","Direct Aid to Public Education","1283","2020","Total",8376165828
"03","Education","197","Direct Aid to Public Education","1","2021","GF",6857617198
"03","Education","197","Direct Aid to Public Education","1","2021","NGF",1992351356
"03","Education","197","Direct Aid to Public Education","1","2021","Total",8849968554
"03","Education","197","Direct Aid to Public Education","1","2022","GF",7180933220
"03","Education","197","Direct Aid to Public Education","1","2022","NGF",2004726703
"03","Education","197","Direct Aid to Public Education","1","2022","Total",9185659923
"03","Education","197","Direct Aid to Public Education","1","2023","GF",9143956725
"03","Education","197","Direct Aid to Public Education","1","2023","NGF",1960365888
"03","Education","197","Direct Aid to Public Education","1","2023","Total",11104322613
"03","Education","197","Direct Aid to Public Education","1","2024","GF",8928053096
"03","Education","197","Direct Aid to Public Education","1","2024","NGF",2070513379
"03","Education","197","Direct Aid to Public Education","1","2024","Total",10998566475
"03","Education","201","Department of Education, Central Office Operations","1283","2019","GF",61947187
"03","Education","201","Department of Education, Central Office Operations","1283","2019","NGF",46717981
"03","Education","201","Department of Education, Central Office Operations","1283","2019","Total",108665168
"03","Education","201","Department of Education, Central Office Operations","1283","2020","GF",64519602
"03","Education","201","Department of Education, Central Office Operations","1283","2020","NGF",56618929
"03","Education","201","Department of Education, Central Office Operations","1283","2020","Total",121138531
"03","Education","201","Department of Education, Central Office Operations","1","2021","GF",75141179
"03","Education","201","Department of Education, Central Office Operations","1","2021","NGF",57417607
"03","Education","201","Department of Education, Central Office Operations","1","2021","Total",132558786
"03","Education","201","Department of Education, Central Office Operations","1","2022","GF",71758582
"03","Education","201","Department of Education, Central Office Operations","1","2022","NGF",304861104
"03","Education","201","Department of Education, Central Office Operations","1","2022","Total",376619686
"03","Education","201","Department of Education, Central Office Operations","1","2023","GF",80183375
"03","Education","201","Department of Education, Central Office Operations","1","2023","NGF",337773641
"03","Education","201","Department of Education, Central Office Operations","1","2023","Total",417957016
"03","Education","201","Department of Education, Central Office Operations","1","2024","GF",81635756
"03","Education","201","Department of Education, Central Office Operations","1","2024","NGF",344295818
"03","Education","201","Department of Education, Central Office Operations","1","2024","Total",425931574
"03","Education","202","The Library Of Virginia","1283","2019","GF",30097055
"03","Education","202","The Library Of Virginia","1283","2019","NGF",8927623
"03","Education","202","The Library Of Virginia","1283","2019","Total",39024678
"03","Education","202","The Library Of Virginia","1283","2020","GF",30717850
"03","Education","202","The Library Of Virginia","1283","2020","NGF",8927623
"03","Education","202","The Library Of Virginia","1283","2020","Total",39645473
"03","Education","202","The Library Of Virginia","1","2021","GF",32524775
"03","Education","202","The Library Of Virginia","1","2021","NGF",9324541
"03","Education","202","The Library Of Virginia","1","2021","Total",41849316
"03","Education","202","The Library Of Virginia","1","2022","GF",32524775
"03","Education","202","The Library Of Virginia","1","2022","NGF",9324541
"03","Education","202","The Library Of Virginia","1","2022","Total",41849316
"03","Education","202","The Library Of Virginia","1","2023","GF",37185282
"03","Education","202","The Library Of Virginia","1","2023","NGF",9323113
"03","Education","202","The Library Of Virginia","1","2023","Total",46508395
"03","Education","202","The Library Of Virginia","1","2024","GF",41895779
"03","Education","202","The Library Of Virginia","1","2024","NGF",9323113
"03","Education","202","The Library Of Virginia","1","2024","Total",51218892
"03","Education","204","The College of William and Mary in Virginia","1283","2019","GF",48255414
"03","Education","204","The College of William and Mary in Virginia","1283","2019","NGF",331117539
"03","Education","204","The College of William and Mary in Virginia","1283","2019","Total",379372953
"03","Education","204","The College of William and Mary in Virginia","1283","2020","GF",51049308
"03","Education","204","The College of William and Mary in Virginia","1283","2020","NGF",331117539
"03","Education","204","The College of William and Mary in Virginia","1283","2020","Total",382166847
"03","Education","204","The College of William and Mary in Virginia","1","2021","GF",54664162
"03","Education","204","The College of William and Mary in Virginia","1","2021","NGF",343764535
"03","Education","204","The College of William and Mary in Virginia","1","2021","Total",398428697
"03","Education","204","The College of William and Mary in Virginia","1","2022","GF",55497162
"03","Education","204","The College of William and Mary in Virginia","1","2022","NGF",343764535
"03","Education","204","The College of William and Mary in Virginia","1","2022","Total",399261697
"03","Education","204","The College of William and Mary in Virginia","1","2023","GF",69752363
"03","Education","204","The College of William and Mary in Virginia","1","2023","NGF",356550806
"03","Education","204","The College of William and Mary in Virginia","1","2023","Total",426303169
"03","Education","204","The College of William and Mary in Virginia","1","2024","GF",68106563
"03","Education","204","The College of William and Mary in Virginia","1","2024","NGF",356799806
"03","Education","204","The College of William and Mary in Virginia","1","2024","Total",424906369
"03","Education","207","University of Virginia","1283","2019","GF",150498551
"03","Education","207","University of Virginia","1283","2019","NGF",1484409313
"03","Education","207","University of Virginia","1283","2019","Total",1634907864
"03","Education","207","University of Virginia","1283","2020","GF",153419244
"03","Education","207","University of Virginia","1283","2020","NGF",1524080699
"03","Education","207","University of Virginia","1283","2020","Total",1677499943
"03","Education","207","University of Virginia","1","2021","GF",164734960
"03","Education","207","University of Virginia","1","2021","NGF",1567378042
"03","Education","207","University of Virginia","1","2021","Total",1732113002
"03","Education","207","University of Virginia","1","2022","GF",167555260
"03","Education","207","University of Virginia","1","2022","NGF",1567378042
"03","Education","207","University of Virginia","1","2022","Total",1734933302
"03","Education","207","University of Virginia","1","2023","GF",205704005
"03","Education","207","University of Virginia","1","2023","NGF",1605426297
"03","Education","207","University of Virginia","1","2023","Total",1811130302
"03","Education","207","University of Virginia","1","2024","GF",210922905
"03","Education","207","University of Virginia","1","2024","NGF",1609501193
"03","Education","207","University of Virginia","1","2024","Total",1820424098
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2019","GF",191215607
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2019","NGF",1246587650
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2019","Total",1437803257
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2020","GF",198602192
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2020","NGF",1246587650
"03","Education","208","Virginia Polytechnic Institute and State University","1283","2020","Total",1445189842
"03","Education","208","Virginia Polytechnic Institute and State University","1","2021","GF",211424939
"03","Education","208","Virginia Polytechnic Institute and State University","1","2021","NGF",1322247168
"03","Education","208","Virginia Polytechnic Institute and State University","1","2021","Total",1533672107
"03","Education","208","Virginia Polytechnic Institute and State University","1","2022","GF",213198139
"03","Education","208","Virginia Polytechnic Institute and State University","1","2022","NGF",1322247168
"03","Education","208","Virginia Polytechnic Institute and State University","1","2022","Total",1535445307
"03","Education","208","Virginia Polytechnic Institute and State University","1","2023","GF",250612751
"03","Education","208","Virginia Polytechnic Institute and State University","1","2023","NGF",1387650822
"03","Education","208","Virginia Polytechnic Institute and State University","1","2023","Total",1638263573
"03","Education","208","Virginia Polytechnic Institute and State University","1","2024","GF",258513813
"03","Education","208","Virginia Polytechnic Institute and State University","1","2024","NGF",1388384822
"03","Education","208","Virginia Polytechnic Institute and State University","1","2024","Total",1646898635
"03","Education","209","University of Virginia Medical Center","1283","2019","GF",0
"03","Education","209","University of Virginia Medical Center","1283","2019","NGF",1874877027
"03","Education","209","University of Virginia Medical Center","1283","2019","Total",1874877027
"03","Education","209","University of Virginia Medical Center","1283","2020","GF",0
"03","Education","209","University of Virginia Medical Center","1283","2020","NGF",1987715855
"03","Education","209","University of Virginia Medical Center","1283","2020","Total",1987715855
"03","Education","209","University of Virginia Medical Center","1","2021","GF",0
"03","Education","209","University of Virginia Medical Center","1","2021","NGF",2121343665
"03","Education","209","University of Virginia Medical Center","1","2021","Total",2121343665
"03","Education","209","University of Virginia Medical Center","1","2022","GF",0
"03","Education","209","University of Virginia Medical Center","1","2022","NGF",2252140011
"03","Education","209","University of Virginia Medical Center","1","2022","Total",2252140011
"03","Education","209","University of Virginia Medical Center","1","2023","GF",0
"03","Education","209","University of Virginia Medical Center","1","2023","NGF",2331852899
"03","Education","209","University of Virginia Medical Center","1","2023","Total",2331852899
"03","Education","209","University of Virginia Medical Center","1","2024","GF",0
"03","Education","209","University of Virginia Medical Center","1","2024","NGF",2429057746
"03","Education","209","University of Virginia Medical Center","1","2024","Total",2429057746
"03","Education","211","Virginia Military Institute","1283","2019","GF",15241892
"03","Education","211","Virginia Military Institute","1283","2019","NGF",70108461
"03","Education","211","Virginia Military Institute","1283","2019","Total",85350353
